gene,kegg_pathway_count,reactome_pathway_count,kegg_pathway_count_norm,reactome_pathway_count_norm
A1BG,0,7,0.0,0.0136
A1CF,0,4,0.0,0.0078
A2M,1,14,0.0089,0.0272
A2ML1,0,0,0.0,0.0
A3GALT2,1,0,0.0089,0.0
A4GALT,2,5,0.0179,0.0097
A4GNT,0,4,0.0,0.0078
AAAS,1,91,0.0089,0.177
AACS,2,4,0.0179,0.0078
AADAC,0,3,0.0,0.0058
AADACL2,0,0,0.0,0.0
AADACL3,0,0,0.0,0.0
AADACL4,0,0,0.0,0.0
AADAT,2,4,0.0179,0.0078
AAED1,0,0,0.0,0.0
AAGAB,0,0,0.0,0.0
AAK1,0,4,0.0,0.0078
AAMDC,0,0,0.0,0.0
AAMP,0,12,0.0,0.0233
AANAT,1,4,0.0089,0.0078
AAR2,0,0,0.0,0.0
AARD,0,0,0.0,0.0
AARS1,1,4,0.0089,0.0078
AARS2,1,4,0.0089,0.0078
AARSD1,0,0,0.0,0.0
AASDH,0,0,0.0,0.0
AASDHPPT,1,4,0.0089,0.0078
AASS,1,3,0.0089,0.0058
AATF,0,5,0.0,0.0097
AATK,0,0,0.0,0.0
ABAT,6,5,0.0536,0.0097
ABCA1,4,16,0.0357,0.0311
ABCA10,1,3,0.0089,0.0058
ABCA12,1,7,0.0089,0.0136
ABCA13,1,3,0.0089,0.0058
ABCA2,2,3,0.0179,0.0058
ABCA3,1,12,0.0089,0.0233
ABCA4,1,13,0.0089,0.0253
ABCA5,1,3,0.0089,0.0058
ABCA6,1,8,0.0089,0.0156
ABCA7,1,3,0.0089,0.0058
ABCA8,1,2,0.0089,0.0039
ABCA9,1,3,0.0089,0.0058
ABCB1,4,8,0.0357,0.0156
ABCB10,1,3,0.0089,0.0058
ABCB11,3,11,0.0268,0.0214
ABCB4,2,10,0.0179,0.0195
ABCB5,1,2,0.0089,0.0039
ABCB6,1,7,0.0089,0.0136
ABCB7,1,5,0.0089,0.0097
ABCB8,1,3,0.0089,0.0058
ABCB9,2,2,0.0179,0.0039
ABCC1,4,24,0.0357,0.0467
ABCC10,1,2,0.0089,0.0039
