gene,pli_score,string_degree_norm
A1BG,0.0,0.0117
A1CF,0.0,0.0131
A2M,0.0,0.0836
A2ML1,0.0,0.0078
A3GALT2,0.0,0.0039
A4GALT,0.0,0.0196
A4GNT,0.1654,0.0026
AAAS,0.0,0.047
AACS,0.0,0.0196
AADAC,0.0029,0.0026
AADACL2,0.0,0.0
AADACL3,0.0119,0.0
AADACL4,0.0002,0.0
AADAT,0.1464,0.0235
AAED1,0.0,0.0
AAGAB,0.0,0.0078
AAK1,1.0,0.0274
AAMDC,0.0,0.0
AAMP,0.7617,0.0131
AANAT,0.003,0.0209
AAR2,0.0,0.0274
AARD,0.3258,0.0
AARS,0.0,0.0
AARS1,0.0,0.0744
AARS2,0.0,0.0574
AARSD1,0.0,0.0039
AASDH,0.0,0.0561
AASDHPPT,0.0339,0.0183
AASS,0.0,0.0131
AATF,0.0,0.1867
AATK,0.2063,0.0026
ABAT,0.0063,0.047
ABCA1,0.0,0.0535
ABCA10,0.0,0.0
ABCA12,0.0,0.0117
ABCA13,0.0,0.0
ABCA2,1.0,0.0235
ABCA3,0.0,0.0052
ABCA4,0.0,0.0431
ABCA5,0.0,0.0013
ABCA6,0.0,0.0039
ABCA7,0.0,0.0274
ABCA8,0.0,0.0013
ABCA9,0.0,0.0013
ABCB1,0.0,0.0287
ABCB10,0.0,0.0117
ABCB11,0.0,0.0235
ABCB4,0.0,0.0131
ABCB5,0.0,0.0026
ABCB6,0.0,0.0222
ABCB7,0.9999,0.0287
ABCB8,0.0,0.0261
ABCB9,0.0003,0.0065
ABCC1,0.0012,0.0052
ABCC10,0.0,0.0
ABCC11,0.0,0.0
ABCC12,0.0,0.0
ABCC2,0.0,0.0379
ABCC3,0.0,0.0131
ABCC4,0.0,0.0274
ABCC5,0.0042,0.0013
ABCC6,0.0,0.0117
ABCC8,0.0,0.0287
ABCC9,0.0,0.0144
ABCD1,0.999,0.0326
ABCD2,0.0,0.0104
ABCD3,0.0078,0.0392
ABCD4,0.0,0.0287
ABCE1,0.9738,0.1945
ABCF1,0.0,0.0614
ABCF2,0.0113,0.0313
