,test_BCL2L11+TGFBR2,test_BCL2L11+ctrl,test_ctrl
ENSG00000239945,0.00024322578617023516,0.0001962015806879032,0.0
ENSG00000223764,0.0037972653397269737,0.005840114163228682,0.0
ENSG00000187634,0.00010123221176601367,0.00032213547183999685,0.0
ENSG00000187642,0.0065231757293869016,0.007976149206320102,0.0
ENSG00000188290,0.01661067386817774,0.0021140736373059937,0.0
ENSG00000187608,0.10766039895001414,0.09876282040324191,0.0
ENSG00000273443,1.9257792275714478e-10,0.00013647636888506817,0.0
ENSG00000237330,0.0018111003750660027,0.0025353240379246333,0.0
ENSG00000223823,5.348972088700028e-05,1.0749407996407606e-05,0.0
ENSG00000205231,0.0008501510191316074,0.00026835284419548594,0.0
ENSG00000186891,0.0008274021591461457,0.000451666401307317,0.0
ENSG00000186827,0.0015137757362759336,0.0022385756729651285,0.0
ENSG00000169962,0.0014526716711901675,0.0007784632931319603,0.0
ENSG00000235098,0.0010697392232854232,0.0012563974292312719,0.0
ENSG00000189409,0.0009129626749820546,0.0003822118573930455,0.0
ENSG00000269737,0.00173427701318179,0.0017674307518869064,0.0
ENSG00000169885,0.00017369937995406954,0.0002822046048807476,0.0
ENSG00000271806,0.0038529879149947384,0.0023578880590841055,0.0
ENSG00000234396,0.00214151370722304,0.0017828855017890113,0.0
ENSG00000149527,0.0019380087283590154,0.002502054854476273,0.0
ENSG00000272449,0.006283601728454439,0.006111488529262712,0.0
ENSG00000238164,0.0010885621546107647,0.005433181265799086,0.0
ENSG00000157873,0.00015608279406502265,4.425677950451053e-05,0.0
ENSG00000215912,0.004855167544035143,0.003393729246252018,0.0
ENSG00000078900,0.00025152061389523475,7.304365721578446e-05,0.0
ENSG00000235169,0.011520265041553887,0.0013108979567984821,0.0
ENSG00000272153,5.113515812409936e-06,1.9379395014117047e-05,0.0
ENSG00000116254,0.0010866776948959347,0.0005625611752523331,0.0
ENSG00000225077,0.000903661139934847,0.002492209609348589,0.0
ENSG00000158292,0.00017205897655715274,0.001956498733483208,0.0
ENSG00000069812,1.5882482166946663e-05,5.285616784930118e-06,0.0
