,test_BCL2L11+TGFBR2,test_BCL2L11+ctrl,test_ctrl
ENSG00000239945,,-0.14853857174869012,
ENSG00000223764,,,0.9999999999999998
ENSG00000187634,0.015751359701559838,-0.18759588385452797,1.0
ENSG00000187642,,,
ENSG00000188290,0.04642558547042931,0.36141614595446303,0.9999999999999999
ENSG00000187608,0.02341739661479389,0.025799768835647968,1.0
ENSG00000273443,,,
ENSG00000237330,,,0.9999999999999997
ENSG00000223823,,,
ENSG00000205231,,,
ENSG00000186891,,,
ENSG00000186827,,,
ENSG00000169962,,,
ENSG00000235098,,,
ENSG00000189409,,,1.0
ENSG00000269737,,,
ENSG00000169885,,,
ENSG00000271806,,,
ENSG00000234396,,,
ENSG00000149527,,,
ENSG00000272449,-0.21622936701801646,,0.9999999999999999
ENSG00000238164,,-0.005149698320080696,
ENSG00000157873,,,
ENSG00000215912,,,
ENSG00000078900,,,0.999999999999999
ENSG00000235169,-0.17263619376394435,-0.2029549195158285,1.0
ENSG00000272153,,,0.9999999999999997
ENSG00000116254,,,
ENSG00000225077,-0.0512604577431959,,0.9999999999999991
ENSG00000158292,-0.014941956643233598,,1.0
ENSG00000069812,,,0.9999999999999999
ENSG00000187017,,0.12107953161339104,
ENSG00000173662,,,
ENSG00000270171,,,
ENSG00000049249,,,0.9999999999999998
ENSG00000232912,,,
ENSG00000228423,,,
ENSG00000074800,-0.02526499071355448,-0.11624510401795042,1.0
ENSG00000131686,,,
ENSG00000180758,-0.17750293111034152,,1.0
ENSG00000228526,,,1.0
ENSG00000234546,,,
ENSG00000049239,0.010831237649622988,0.15603402231345995,0.9999999999999996
ENSG00000179840,,,
ENSG00000280113,,,
ENSG00000142657,0.11391579528142418,0.043934707031368134,0.9999999999999998
ENSG00000175262,,,
ENSG00000277726,,,
ENSG00000009724,,,1.0
ENSG00000271895,0.06695012220151467,,0.9999999999999998
ENSG00000116649,0.006911835096113525,-0.08580956253960936,1.0
ENSG00000162490,,,0.9999999999999998
ENSG00000177000,0.36447680998811166,-0.07139955875676399,1.0
ENSG00000162493,,,
ENSG00000175147,,,
ENSG00000233485,,,
ENSG00000228140,,,
ENSG00000142634,-0.06535821552264777,-0.0687060627842696,1.0
ENSG00000142615,,,
ENSG00000215704,,,
ENSG00000271742,,,
ENSG00000224621,,,
ENSG00000261135,-0.08816728878823085,,1.0
ENSG00000271732,,,
ENSG00000280226,,,
ENSG00000230424,0.14185061946303568,0.10086728203408929,1.0
ENSG00000188257,,,
ENSG00000117215,,,
ENSG00000187980,,,
ENSG00000117242,,,0.9999999999999996
ENSG00000236936,,,
ENSG00000142789,,,
ENSG00000070831,0.0878142740902186,-0.011790406651969784,1.0
ENSG00000162552,,,
ENSG00000173369,,,
ENSG00000249087,-0.16385910623539884,-0.13488450851283917,0.9999999999999998
ENSG00000235052,,,
ENSG00000117318,0.2909706729691518,0.0375005310263659,1.0
ENSG00000197880,,,
ENSG00000117305,0.12731790842783283,-0.3052910681812952,1.0
ENSG00000179163,-0.06484458090675281,-0.2758174551277144,1.0
ENSG00000188822,,,
ENSG00000142677,,,
ENSG00000230023,,,
ENSG00000020633,,,
ENSG00000233755,,,
ENSG00000231953,,,0.9999999999999998
ENSG00000117614,0.35022346079117717,-0.16493914426763157,1.0
ENSG00000117616,0.3647087524657124,0.32702740470477737,1.0
ENSG00000233478,,,0.9999999999999996
ENSG00000182749,0.20230335232388966,0.04876904888066913,1.0
ENSG00000117632,-0.36952610850337153,-0.060470206150250325,0.9999999999999998
ENSG00000158008,,,
ENSG00000158022,,,1.0
ENSG00000142669,-0.35447380212240875,0.16172082453247688,1.0
ENSG00000169442,0.2412204317165052,0.11626268862410509,1.0
ENSG00000176083,,,
ENSG00000198830,0.2193500993230137,-0.07062136971196602,0.9999999999999999
ENSG00000117713,0.10177037281666171,-0.17516269972920445,1.0
ENSG00000226698,,,
ENSG00000090273,-0.05478849145368589,-0.07392182875334737,1.0
ENSG00000142765,-0.24615420896919396,-0.2604416800746158,0.9999999999999993
ENSG00000000938,,,
ENSG00000126709,,,1.0
ENSG00000130775,-0.41196606060823077,0.2680598293287407,0.9999999999999999
ENSG00000227050,,,
ENSG00000169403,,,0.9999999999999998
ENSG00000271398,,,
ENSG00000130766,-0.017059819106723745,-0.08727251215504431,0.9999999999999998
ENSG00000116329,,,
ENSG00000233427,,0.13847740507198306,
ENSG00000162511,-0.04495531871009472,0.11794389194694438,1.0
ENSG00000121769,,,0.9999999999999997
ENSG00000223907,,,
ENSG00000235790,,,
ENSG00000134668,,,0.9999999999999998
ENSG00000224066,,,1.0
ENSG00000222046,,,
ENSG00000183615,,,
ENSG00000182866,,,
ENSG00000175130,0.2465386909855225,0.22737740209598073,1.0
ENSG00000162526,-0.26524841823706974,,1.0
ENSG00000160058,-0.1555104567316956,-0.20188609100292748,1.0
ENSG00000224409,,,
ENSG00000121900,-0.15162943258376135,-0.13867220430323463,0.9999999999999999
ENSG00000255811,,,
ENSG00000271741,,,
ENSG00000126067,0.07879554552310836,-0.22534169526884684,1.0
ENSG00000092853,-0.05537978026783636,-0.1102901101332645,1.0
ENSG00000232335,,,
ENSG00000116871,-0.08648291371142768,0.2980239114707697,1.0
ENSG00000214193,0.42485616759821343,,0.9999999999999993
ENSG00000119535,0.274974006484575,-0.06157589640111601,1.0
ENSG00000233621,,,
ENSG00000134690,0.05794676701512721,-0.10703377993880767,1.0
ENSG00000158315,,,1.0
ENSG00000127603,-0.26253978844841064,0.2031555996220459,1.0
ENSG00000226438,,,
ENSG00000183682,,,
ENSG00000168389,,,
ENSG00000131236,-0.36066426507582156,0.2947682891024403,1.0
ENSG00000049089,0.004599492019420469,-0.12055836455870411,1.0
ENSG00000179862,-0.028474899231968283,0.035848739255676804,0.9999999999999997
ENSG00000229528,,,
ENSG00000171790,,,
ENSG00000044012,,,
ENSG00000197273,,,
ENSG00000066185,,,
ENSG00000127125,-0.19844177620485037,-0.07212310657369629,1.0
ENSG00000186409,,-0.15353414771760424,1.0
ENSG00000065978,0.24765067714698288,-0.04750406195841902,1.0
ENSG00000164007,,,
ENSG00000117394,0.19294048951228687,-0.08618300491925462,1.0
ENSG00000227533,-0.02601650223319351,-0.05178430190717291,1.0
ENSG00000186973,,,
ENSG00000243710,,,
ENSG00000179178,,,
ENSG00000253313,,,
ENSG00000117399,0.09206429794235575,0.09354865178541177,1.0
ENSG00000229444,,,
ENSG00000117410,0.07922143277571299,-0.22660608178166136,1.0
ENSG00000196517,-0.20020009584444315,0.04243891171230396,0.9999999999999996
ENSG00000198520,,,0.9999999999999997
ENSG00000142945,-0.1591643639047747,-0.1386635853855566,0.9999999999999999
ENSG00000222009,,,
ENSG00000070759,,,
ENSG00000117450,-0.05698127079350304,-0.18456786005556408,1.0
ENSG00000226957,,,
ENSG00000117480,,-0.08601143431778666,1.0
ENSG00000269956,,0.3149771668558369,
ENSG00000186118,,,
ENSG00000162366,,-0.05887569930196086,0.9999999999999996
ENSG00000123473,-0.012051286337134502,0.05424640723246608,1.0
ENSG00000123080,-0.15532087563252395,-0.052198774713703024,1.0
ENSG00000203356,,,
ENSG00000261664,,,
ENSG00000169213,,-0.2919106392289791,0.9999999999999993
ENSG00000223390,,,
ENSG00000228369,,,
ENSG00000116157,,0.18089688916160682,1.0
ENSG00000182183,,,
ENSG00000226754,,,
ENSG00000230138,-0.30206897393769216,0.33545859829757185,1.0
ENSG00000116209,0.17412976706983307,0.20565174073222875,1.0
ENSG00000225632,,,
ENSG00000143001,,,
ENSG00000162399,,,
ENSG00000162407,,,
ENSG00000177606,-0.16423437942818636,0.022426319862742145,0.9999999999999999
ENSG00000232453,0.17544249540120935,,0.9999999999999998
ENSG00000237352,,,
ENSG00000132849,,,
ENSG00000132855,,,
ENSG00000228734,,,
ENSG00000079739,,,
ENSG00000118473,,,
ENSG00000203963,,,
ENSG00000116717,-0.28539893798305005,-0.13638652039198707,1.0
ENSG00000237919,,,
ENSG00000229051,,,
ENSG00000235782,,,
ENSG00000259030,,,0.9999999999999999
ENSG00000137968,,-0.06212787322579226,0.9999999999999997
ENSG00000178193,,,
ENSG00000057468,,,
ENSG00000233099,,,
ENSG00000235927,-0.1618640472575502,,
ENSG00000137960,,,
ENSG00000137959,,,
ENSG00000137941,,0.14445407071183955,0.9999999999999999
ENSG00000137976,,,
ENSG00000171502,,,
ENSG00000016490,,,
ENSG00000267272,0.03574978204236949,,1.0
ENSG00000143013,0.0518109500742939,0.16243142509651526,1.0
ENSG00000117226,,,
ENSG00000117228,,,
ENSG00000162645,,-0.07562445434497855,0.9999999999999998
ENSG00000231999,0.21101925937810884,0.29868498085628165,1.0
ENSG00000189195,,,0.9999999999999993
ENSG00000069712,,-0.0007502510191345901,0.9999999999999999
ENSG00000198691,,,
ENSG00000117525,,,
ENSG00000235501,,,0.9999999999999999
ENSG00000156869,-0.16125401347129048,-0.1131962876822823,0.9999999999999997
ENSG00000122477,,,1.0
ENSG00000181656,,,
ENSG00000170989,,0.1527298582020113,0.9999999999999999
ENSG00000260879,0.1774410311475755,,1.0
ENSG00000238122,,,
ENSG00000143107,,,
ENSG00000203897,,,
ENSG00000273382,-0.17551232862831545,-0.06282214573716206,1.0
ENSG00000270066,,,0.9999999999999991
ENSG00000179902,,,
ENSG00000221986,,,0.9999999999999997
ENSG00000156097,,,
ENSG00000213366,,,1.0
ENSG00000134202,-0.08127395918551578,-0.19476163832539303,0.9999999999999997
ENSG00000198758,,,
ENSG00000261055,,,
ENSG00000143125,,,
ENSG00000143119,-0.13230294858083055,0.14840583122315304,1.0
ENSG00000232811,,,
ENSG00000064886,-0.08322244331527409,0.041965634213935066,0.9999999999999997
ENSG00000143110,,,
ENSG00000121933,,,
ENSG00000282608,,,
ENSG00000197852,,,0.9999999999999997
ENSG00000116489,-0.14959875606737338,0.11324659000937934,1.0
ENSG00000155366,-0.02789008861636791,0.19438307567396768,1.0
ENSG00000215866,,,
ENSG00000134242,0.10636453607352217,0.05285976150462654,1.0
ENSG00000235527,,,0.9999999999999998
ENSG00000116774,,,
ENSG00000233154,,,
ENSG00000224950,,,
ENSG00000116824,,,
ENSG00000134256,,,
ENSG00000236866,,,
ENSG00000183508,-0.11984444372812411,,1.0
ENSG00000155761,,,
ENSG00000092621,-0.08149623110924481,-0.07837173634662678,1.0
ENSG00000198019,,,
ENSG00000233029,,,
ENSG00000230806,,,
ENSG00000263590,,,0.9999999999999997
ENSG00000234571,,,
ENSG00000277199,,,
ENSG00000236140,,,0.9999999999999997
ENSG00000174827,,,
ENSG00000117281,,,
ENSG00000198483,,,
ENSG00000121851,-0.2518346016274634,-0.0794018295032147,1.0
ENSG00000265972,0.04982450068590222,0.1685292525499587,1.0
ENSG00000168509,,,0.9999999999999997
ENSG00000276509,,,0.9999999999999992
ENSG00000131781,,-0.27507201860307817,
ENSG00000227733,,,
ENSG00000234283,,,
ENSG00000231551,0.1023342520149794,,0.9999999999999998
ENSG00000280649,-0.04120389162552509,-0.07256102711119804,1.0
ENSG00000236334,,,
ENSG00000178104,-0.015579370179831534,0.006105652805784345,0.9999999999999998
ENSG00000274265,-0.12383261550650107,-0.16197135107205748,1.0
ENSG00000150337,,,
ENSG00000233030,,,
ENSG00000184260,0.10589383706805014,-0.014741476701055078,0.9999999999999996
ENSG00000014914,-0.07362583502980424,-0.06414175397829032,
ENSG00000023902,0.023198919804652135,-0.17011486250638727,1.0
ENSG00000143401,0.06994649729058836,0.23975769955197207,1.0
ENSG00000276110,,,
ENSG00000143369,,0.11225979059133864,1.0
ENSG00000143382,-0.09123670255001597,-0.10081770025779721,1.0
ENSG00000163131,0.12602990418755994,0.06761865184506935,1.0
ENSG00000143387,0.3517318619253411,,0.9999999999999998
ENSG00000143409,,-0.2501463269033262,0.9999999999999998
ENSG00000163141,0.20848879671838044,,0.9999999999999996
ENSG00000143443,-0.0676824969935661,0.25969683699407525,0.9999999999999994
ENSG00000197622,-0.05039376535812773,0.16166113938065807,0.9999999999999999
ENSG00000213190,-0.03157704368464352,0.06657375180687503,1.0
ENSG00000143458,0.14721210227745063,-0.04752662368167052,1.0
ENSG00000163155,-0.31760469472513975,0.014854090083499923,0.9999999999999998
ENSG00000224645,,,
ENSG00000250734,,,
ENSG00000159409,,,
ENSG00000178796,,,
ENSG00000225556,,,
ENSG00000197747,0.07627168705360643,-0.03582893754139953,0.9999999999999998
ENSG00000163191,-0.15990693663966593,-0.08602040672827335,0.9999999999999999
ENSG00000163216,,,
ENSG00000244094,,,
ENSG00000203783,,,
ENSG00000203782,,,
ENSG00000163218,,0.4325995646331973,
ENSG00000163220,,,
ENSG00000143546,,,
ENSG00000184330,,,
ENSG00000143556,,,
ENSG00000197956,,,
ENSG00000196420,,,
ENSG00000196154,-0.2915300067005627,0.0907821433737993,0.9999999999999998
ENSG00000188015,,,
ENSG00000189171,0.1107781814071609,-0.15244233416561406,0.9999999999999998
ENSG00000160678,-0.027986353507144818,0.06879561208681388,1.0
ENSG00000279767,,,
ENSG00000282386,,,0.9999999999999992
ENSG00000160712,,,0.9999999999999998
ENSG00000169291,,,
ENSG00000143603,,,
ENSG00000163346,,,1.0
ENSG00000173207,0.3522266773847049,-0.022110997354404707,1.0
ENSG00000163357,,,
ENSG00000169231,,0.0889253613597722,0.9999999999999991
ENSG00000236263,,,
ENSG00000132718,,,
ENSG00000143622,0.23181011915036406,-0.024814436802395118,0.9999999999999997
ENSG00000116584,-0.05688294299069578,-0.1705753314960953,1.0
ENSG00000132698,,,0.9999999999999992
ENSG00000160789,0.02741844316104293,-0.11038817803983109,1.0
ENSG00000183856,-0.2735373300017562,-0.02137291435002279,1.0
ENSG00000143320,,,0.9999999999999996
ENSG00000027869,-0.11544800440036601,-0.0360044339441038,1.0
ENSG00000198400,,0.05981849686154975,1.0
ENSG00000027644,,,
ENSG00000160838,,,
ENSG00000229961,,,
ENSG00000132704,,,0.9999999999999997
ENSG00000176320,,,
ENSG00000163563,,,
ENSG00000163565,,,
ENSG00000213088,,,
ENSG00000188004,,,
ENSG00000243284,,,
ENSG00000132681,,,0.9999999999999999
ENSG00000143318,,,
ENSG00000258465,,,1.0
ENSG00000162739,,,
ENSG00000066294,,,1.0
ENSG00000117090,,,
ENSG00000228863,,,
ENSG00000117091,,,0.9999999999999997
ENSG00000122224,,,
ENSG00000122223,,,
ENSG00000179914,,,
ENSG00000232188,,,
ENSG00000158764,,,0.9999999999999999
ENSG00000186517,,,0.9999999999999996
ENSG00000143217,,,
ENSG00000228917,,,
ENSG00000162755,,,
ENSG00000158793,-0.03453464694073583,0.07071186653415323,1.0
ENSG00000158859,,,
ENSG00000158869,-0.033832085495124405,0.1456654144396597,1.0
ENSG00000188931,,,
ENSG00000143226,0.06778697114734258,0.012850688576461957,1.0
ENSG00000173110,,,
ENSG00000203747,,,
ENSG00000072694,0.14254932189626215,,
ENSG00000132185,,,
ENSG00000198929,,,
ENSG00000227094,,,
ENSG00000185860,,,
ENSG00000185630,,,
ENSG00000233693,,,
ENSG00000234142,,,0.9999999999999998
ENSG00000143194,,,
ENSG00000143162,-0.059235402535678675,0.35490288669308456,0.9999999999999996
ENSG00000198771,-0.32392500643007155,-0.08350782709283781,0.9999999999999996
ENSG00000197965,0.11801723656882379,0.13697392603955094,0.9999999999999998
ENSG00000143158,0.06728889937990082,-0.2795832953495028,1.0
ENSG00000143184,,,
ENSG00000235736,,,
ENSG00000225826,,,
ENSG00000143153,-0.3136252671260772,-0.3102605151913596,1.0
ENSG00000010932,,,
ENSG00000117586,,,
ENSG00000224977,,,
ENSG00000152061,0.02850384452162659,0.05112424770978208,1.0
ENSG00000203737,,,
ENSG00000116161,-0.24873890821229133,-0.15462580670778164,1.0
ENSG00000236021,,0.1437633598242801,
ENSG00000116194,,,
ENSG00000186283,0.14550725775059967,-0.0022614834229092995,1.0
ENSG00000143322,0.09364577412192403,-0.16624956378306463,1.0
ENSG00000229407,,,
ENSG00000169905,-0.11325962862705728,0.04856160459489289,1.0
ENSG00000116260,0.18979162166234245,,0.9999999999999997
ENSG00000153029,,0.2834184250169295,1.0
