,test_BCL2L11+TGFBR2,test_BCL2L11+ctrl,test_ctrl
ENSG00000239945,0.9771938339568438,0.9738930095965389,1.0
ENSG00000223764,0.6439480105424038,0.4508323552247848,1.0
ENSG00000187634,0.9867979956389197,0.9503761603471514,1.0
ENSG00000187642,0.3883516074165806,0.249973336942106,1.0
ENSG00000188290,0.007229256887875457,-0.42644382490837063,1.0
ENSG00000187608,-1.9631928850313098,-2.4688045947140806,1.0
ENSG00000273443,0.9999999819428541,0.9871666205077685,1.0
ENSG00000237330,0.8301814620994491,0.761594159334803,1.0
ENSG00000223823,0.994984516036263,0.998989193028984,1.0
ENSG00000205231,0.9202852371117399,0.9747657886633799,1.0
ENSG00000186891,0.9224183013930568,0.9575281346950618,1.0
ENSG00000186827,0.8580602415522268,0.7894985143522479,1.0
ENSG00000169962,0.8637896930394511,0.9267982196507701,1.0
ENSG00000235098,0.8996954987774699,0.8818562831872866,1.0
ENSG00000189409,0.9143956875260861,0.9640591927125888,1.0
ENSG00000269737,0.8373848250482139,0.833801967894552,1.0
ENSG00000169885,0.9837130010739957,0.9734632524064946,1.0
ENSG00000271806,0.6387229179106859,0.7782790336278276,1.0
ENSG00000234396,0.7992001513734753,0.8323486645350738,1.0
ENSG00000149527,0.8182818347074303,0.7647224849711768,1.0
ENSG00000272449,0.1376434021510593,0.4253139951856887,1.0
ENSG00000238164,0.8979305132182054,-0.5168837314776229,1.0
ENSG00000157873,0.9853648354333407,0.9958383708804202,1.0
ENSG00000215912,0.5447531210328432,0.6808750273482893,1.0
ENSG00000078900,0.9764160709179125,0.9931314338821631,1.0
ENSG00000235169,-2.838722988455817,-9.26203719415479,1.0
ENSG00000272153,0.9995205291229485,0.9981776835310293,1.0
ENSG00000116254,0.8981072484971733,0.9471002858166997,1.0
ENSG00000225077,0.8766775355577066,0.7656482939731468,1.0
ENSG00000158292,0.9761250869081356,0.8160231276660141,1.0
ENSG00000069812,0.9985107725425203,0.9995029736777452,1.0
ENSG00000187017,0.929484522482198,0.8655830477274739,1.0
ENSG00000173662,0.3331400055844924,0.42136814622119445,1.0
ENSG00000270171,0.9881870183761806,0.983631409065942,1.0
ENSG00000049249,0.7579320264459295,0.7674704329136394,1.0
ENSG00000232912,0.6123510644675765,0.45034909731308836,1.0
ENSG00000228423,0.9901838713491317,0.9835106562569018,1.0
ENSG00000074800,-0.1066987221155622,-0.11031084974696181,1.0
ENSG00000131686,0.9716543225861669,0.9866470159453031,1.0
ENSG00000180758,0.9820068074644023,0.963219470425507,1.0
ENSG00000228526,-0.7836253028939029,-0.45089690343330835,1.0
ENSG00000234546,0.9740443626566273,0.9954177975458273,1.0
ENSG00000049239,0.8993730405184487,0.8434335892589793,1.0
ENSG00000179840,0.9853160582130784,0.9772542894628506,1.0
ENSG00000280113,0.9971272864196741,0.9638685383854579,1.0
ENSG00000142657,-0.24331555749914147,-0.3703907100116002,1.0
ENSG00000175262,0.6784975172547042,0.5413827167608365,1.0
ENSG00000277726,0.793834425864473,0.7027487749834128,1.0
ENSG00000009724,0.9702378395617869,0.9940002607784943,1.0
ENSG00000271895,0.9993984058498755,0.9391232861865321,1.0
ENSG00000116649,-0.15974394409128778,-0.18840225040945602,1.0
ENSG00000162490,0.39077767731693513,0.4437817905610123,1.0
ENSG00000177000,-2.824334449772765,-77.49654376794452,1.0
ENSG00000162493,-0.12361138862818155,-0.044320020013596695,1.0
ENSG00000175147,0.6575361829697282,0.752719242887098,1.0
ENSG00000233485,0.97879195541591,0.9968104747505238,1.0
ENSG00000228140,0.7368579814594364,0.7250034191156753,1.0
ENSG00000142634,-8.259743731988165,-12.800677359324238,1.0
ENSG00000142615,0.9969576109761246,0.9920051135063798,1.0
ENSG00000215704,0.9567757133221689,0.9911705797159385,1.0
