,test_BCL2L11+TGFBR2,test_BCL2L11+ctrl,test_ctrl
ENSG00000239945,,-0.14589258608601463,
ENSG00000223764,,,1.0
ENSG00000187634,0.04863086202867155,-0.20424962052042048,0.9999999999999999
ENSG00000187642,,,
ENSG00000188290,-0.004215297229118194,0.3837392939160619,1.0
ENSG00000187608,0.02829520339218875,-0.05606345314727197,1.0
ENSG00000273443,,,
ENSG00000237330,,,1.0
ENSG00000223823,,,
ENSG00000205231,,,
ENSG00000186891,,,
ENSG00000186827,,,
ENSG00000169962,,,
ENSG00000235098,,,
ENSG00000189409,,,1.0
ENSG00000269737,,,
ENSG00000169885,,,
ENSG00000271806,,,
ENSG00000234396,,,
ENSG00000149527,,,
ENSG00000272449,-0.2237019653318891,,1.0
ENSG00000238164,,0.04863086202867155,
ENSG00000157873,,,
ENSG00000215912,,,
ENSG00000078900,,,1.0
ENSG00000235169,-0.30855387571889104,-0.2493635796177658,1.0
ENSG00000272153,,,1.0
ENSG00000116254,,,
ENSG00000225077,-0.126440241274546,,0.9999999999999999
ENSG00000158292,-0.029178517217202927,,1.0
ENSG00000069812,,,1.0
ENSG00000187017,,0.10698789646307741,
ENSG00000173662,,,
ENSG00000270171,,,
ENSG00000049249,,,1.0
ENSG00000232912,,,
ENSG00000228423,,,
ENSG00000074800,-0.1220674486803519,-0.03189149560117301,0.9999999999999998
ENSG00000131686,,,
ENSG00000180758,-0.20424962052042048,,1.0
ENSG00000228526,,,1.0
ENSG00000234546,,,
ENSG00000049239,0.003930462298116887,0.14589258608601463,1.0
ENSG00000179840,,,
ENSG00000280113,,,
ENSG00000142657,0.07221470874583434,-0.06954389536298862,1.0
ENSG00000175262,,,
ENSG00000277726,,,
ENSG00000009724,,,1.0
ENSG00000271895,0.126440241274546,,1.0
ENSG00000116649,0.08266886662893656,-0.10777126099706744,1.0
ENSG00000162490,,,1.0
ENSG00000177000,0.36345509337381376,-0.15019806307209618,1.0
ENSG00000162493,,,
ENSG00000175147,,,
ENSG00000233485,,,
ENSG00000228140,,,
ENSG00000142634,-0.08458050327563715,-0.058265510193222445,1.0
ENSG00000142615,,,
ENSG00000215704,,,
ENSG00000271742,,,
ENSG00000224621,,,
ENSG00000261135,-0.10698789646307741,,1.0
ENSG00000271732,,,
ENSG00000280226,,,
ENSG00000230424,0.07511550169734496,0.10698789646307741,1.0
ENSG00000188257,,,
ENSG00000117215,,,
ENSG00000187980,,,
ENSG00000117242,,,1.0
ENSG00000236936,,,
ENSG00000142789,,,
ENSG00000070831,0.13110300474613645,-0.030481138422530536,1.0
ENSG00000162552,,,
ENSG00000173369,,,
ENSG00000249087,-0.2237019653318891,-0.1847972757089519,1.0
ENSG00000235052,,,
ENSG00000117318,0.3284903762194892,0.05065929184239544,1.0
ENSG00000197880,,,
ENSG00000117305,0.12826949120283412,-0.2601624143605506,1.0
ENSG00000179163,-0.03067761536215361,-0.2116690850243826,1.0
ENSG00000188822,,,
ENSG00000142677,,,
ENSG00000230023,,,
ENSG00000020633,,,
ENSG00000233755,,,
ENSG00000231953,,,1.0
ENSG00000117614,0.3649820717798483,-0.16795092574143278,0.9999999999999998
ENSG00000117616,0.15671070666460446,0.2178615078512583,0.9999999999999998
ENSG00000233478,,,1.0
ENSG00000182749,0.24315431014335773,0.06808320684014017,1.0
ENSG00000117632,-0.2976539589442815,-0.09860703812316715,1.0
ENSG00000158008,,,
ENSG00000158022,,,1.0
ENSG00000142669,-0.3191846718036019,0.19233859440414114,1.0
ENSG00000169442,0.2626066549548263,0.13107722779243694,1.0
ENSG00000176083,,,
ENSG00000198830,0.1788856304985337,-0.002565982404692082,0.9999999999999998
ENSG00000117713,0.1404654739826513,-0.1571104340313151,1.0
ENSG00000226698,,,
ENSG00000090273,-0.17505269984619604,-0.059206305811854786,0.9999999999999998
ENSG00000142765,-0.2626066549548263,-0.2626066549548263,0.9999999999999999
ENSG00000000938,,,
ENSG00000126709,,,1.0
ENSG00000130775,-0.4459548668047952,0.2511128690463567,1.0
ENSG00000227050,,,
ENSG00000169403,,,1.0
ENSG00000271398,,,
ENSG00000130766,-0.00747060915536387,-0.054351479323234794,1.0
ENSG00000116329,,,
ENSG00000233427,,0.10175530171791497,
ENSG00000162511,0.03537261506283055,0.1475257993404002,1.0
ENSG00000121769,,,1.0
ENSG00000223907,,,
ENSG00000235790,,,
ENSG00000134668,,,1.0
ENSG00000224066,,,1.0
ENSG00000222046,,,
ENSG00000183615,,,
ENSG00000182866,,,
ENSG00000175130,0.17198387661662332,0.2917888563049853,1.0
ENSG00000162526,-0.28205899976629495,,1.0
ENSG00000160058,-0.03713950591686023,-0.16376875241439612,1.0
ENSG00000224409,,,
ENSG00000121900,-0.1207331979566476,-0.09055415073443336,1.0
ENSG00000255811,,,
ENSG00000271741,,,
ENSG00000126067,0.063049853372434,-0.17725231492279747,0.9999999999999998
ENSG00000092853,-0.034305646426024086,-0.09182564409887234,0.9999999999999998
ENSG00000232335,,,
ENSG00000116871,-0.09599953701245743,0.2891458860725949,1.0
ENSG00000214193,0.3015113445777636,,0.9999999999999999
ENSG00000119535,0.2768302013530093,-0.05327960004114003,1.0
ENSG00000233621,,,
ENSG00000134690,-0.03173531562793608,-0.04110504032203846,1.0
ENSG00000158315,,,1.0
ENSG00000127603,-0.23145186934785575,0.15044034716076768,1.0
ENSG00000226438,,,
ENSG00000183682,,,
ENSG00000168389,,,
ENSG00000131236,-0.4080065637039931,0.22075542371685974,1.0
ENSG00000049089,-0.009726172405734309,-0.10698789646307741,1.0
ENSG00000179862,-0.04585539347803036,-0.017032003291839848,1.0
ENSG00000229528,,,
ENSG00000171790,,,
ENSG00000044012,,,
ENSG00000197273,,,
ENSG00000066185,,,
ENSG00000127125,-0.20128821307799039,-0.11212690629454394,1.0
ENSG00000186409,,-0.1969598329389685,1.0
ENSG00000065978,0.04105571847507331,-0.05461876832844574,0.9999999999999998
ENSG00000164007,,,
ENSG00000117394,0.19737541546537576,0.024663024193223075,1.0
ENSG00000227533,-0.04863086202867155,-0.126440241274546,1.0
ENSG00000186973,,,
ENSG00000243710,,,
ENSG00000179178,,,
ENSG00000253313,,,
ENSG00000117399,0.08325212027508432,0.21461157894453764,1.0
ENSG00000229444,,,
ENSG00000117410,0.12866568914956011,-0.09534287403053743,1.0
ENSG00000196517,-0.2237019653318891,0.04863086202867155,1.0
ENSG00000198520,,,1.0
ENSG00000142945,-0.18904185640925075,-0.1108410067654694,1.0
ENSG00000222009,,,
ENSG00000070759,,,
ENSG00000117450,-0.0656158357771261,-0.08651026392961875,1.0
ENSG00000226957,,,
ENSG00000117480,,-0.06808320684014017,1.0
ENSG00000269956,,0.28205899976629495,
ENSG00000186118,,,
ENSG00000162366,,-0.06808320684014017,1.0
ENSG00000123473,-0.004819747842170239,0.10145609473670496,1.0
ENSG00000123080,-0.11009484279999887,-0.04133454062419887,1.0
ENSG00000203356,,,
ENSG00000261664,,,
ENSG00000169213,,-0.28205899976629495,1.0
ENSG00000223390,,,
ENSG00000228369,,,
ENSG00000116157,,0.24315431014335773,1.0
ENSG00000182183,,,
ENSG00000226754,,,
ENSG00000230138,-0.3015113445777636,0.28205899976629495,1.0
ENSG00000116209,0.18516906743904835,0.17495316036361927,1.0
ENSG00000225632,,,
ENSG00000143001,,,
ENSG00000162399,,,
ENSG00000162407,,,
ENSG00000177606,-0.19421595278169235,0.009726172405734309,1.0
ENSG00000232453,0.2237019653318891,,1.0
ENSG00000237352,,,
ENSG00000132849,,,
ENSG00000132855,,,
ENSG00000228734,,,
ENSG00000079739,,,
ENSG00000118473,,,
ENSG00000203963,,,
ENSG00000116717,-0.27540620329124965,0.017686307531415275,1.0
ENSG00000237919,,,
ENSG00000229051,,,
ENSG00000235782,,,
ENSG00000259030,,,1.0
ENSG00000137968,,-0.06808320684014017,1.0
ENSG00000178193,,,
ENSG00000057468,,,
ENSG00000233099,,,
ENSG00000235927,-0.20424962052042048,,
ENSG00000137960,,,
ENSG00000137959,,,
ENSG00000137941,,0.14589258608601463,0.9999999999999999
ENSG00000137976,,,
ENSG00000171502,,,
ENSG00000016490,,,
ENSG00000267272,-0.009726172405734309,,1.0
ENSG00000143013,0.16342297106055526,0.20855104297460508,1.0
ENSG00000117226,,,
ENSG00000117228,,,
ENSG00000162645,,-0.08753555165160877,1.0
ENSG00000231999,0.28205899976629495,0.24315431014335773,0.9999999999999999
ENSG00000189195,,,1.0
ENSG00000069712,,0.009726172405734309,1.0
ENSG00000198691,,,
ENSG00000117525,,,
ENSG00000235501,,,1.0
ENSG00000156869,-0.16534493089748323,-0.14589258608601463,0.9999999999999999
ENSG00000122477,,,1.0
ENSG00000181656,,,
ENSG00000170989,,0.2237019653318891,1.0
ENSG00000260879,0.20424962052042048,,0.9999999999999999
ENSG00000238122,,,
ENSG00000143107,,,
ENSG00000203897,,,
ENSG00000273382,-0.12971886398478705,-0.10698789646307741,1.0
ENSG00000270066,,,1.0
ENSG00000179902,,,
ENSG00000221986,,,1.0
ENSG00000156097,,,
ENSG00000213366,,,1.0
ENSG00000134202,-0.0565255384961642,-0.24580713995068215,1.0
ENSG00000198758,,,
ENSG00000261055,,,
ENSG00000143125,,,
ENSG00000143119,-0.06057584889563562,0.1089654333727053,1.0
ENSG00000232811,,,
ENSG00000064886,-0.08765159359502159,0.046379929022493695,1.0
ENSG00000143110,,,
ENSG00000121933,,,
ENSG00000282608,,,
ENSG00000197852,,,1.0
ENSG00000116489,-0.050312240528755214,0.14740007636700117,0.9999999999999998
ENSG00000155366,-0.08654597826498187,0.19376275702880227,1.0
ENSG00000215866,,,
ENSG00000134242,0.1014174171240753,0.08753555165160877,0.9999999999999998
ENSG00000235527,,,0.9999999999999999
