run_id,timestamp,git_commit,ranker,scramble_genes,filter_essential,rounds,trials,IFNG_r5_mean,IFNG_r5_std,IL2_r5_mean,IL2_r5_std,Sanchez21_r5_mean,Sanchez21_r5_std,Sanchez21_down_r5_mean,Sanchez21_down_r5_std,Carnevale22_r5_mean,Carnevale22_r5_std,Scharenberg22_r5_mean,Scharenberg22_r5_std,Steinhart_r5_mean,Steinhart_r5_std,avg_r5,avg_auc
run_20260611_164658,2026-06-11T16:47:08,6ce674a,waddington,True,True,5,3,0.0249,0.0,0.3077,0.0,0.0303,0.0,0.031,0.0,0.0207,0.0,1.0,0.0,0.0276,0.0,0.20603144324770284,0.14782782466573569
run_20260611_164804,2026-06-11T16:48:14,6ce674a,waddington,True,True,5,3,0.0382,0.0079,0.0326,0.0035,0.0272,0.0071,0.0348,0.0033,0.0349,0.006,0.1361,0.0192,0.0253,0.0033,0.04701228930157396,0.021951023837353503
run_20260611_164841,2026-06-11T16:48:49,6ce674a,waddington,False,True,5,3,0.1746,0.0,0.183,0.0,0.0838,0.0,0.1102,0.0,0.091,0.0,0.6122,0.0,0.1517,0.0,0.2009335954713308,0.1460122131303157
run_20260614_204517,2026-06-14T20:50:51,dc4812e,coreset,False,True,5,3,0.1097,0.0,0.158,0.0,0.0396,0.0,0.0586,0.0,0.0461,0.0,0.4898,0.0,0.1103,0.0,0.1445839762851708,0.07073108153210018
run_20260614_205326,2026-06-14T20:59:04,dc4812e,coreset,False,True,5,3,0.1097,0.0,0.158,0.0,0.0396,0.0,0.0586,0.0,0.0461,0.0,0.4898,0.0,0.1103,0.0,0.1445839762851708,0.07073108153210018
run_20260614_210732,2026-06-14T21:07:41,3c8574f,waddington,False,True,5,3,0.2332,0.0,0.2183,0.0,0.1513,0.0,0.1791,0.0,0.1463,0.0,0.7347,0.0,0.1862,0.0,0.26415995462377884,0.19366568924103042
run_20260615_170313,2026-06-15T17:03:22,e99b193,waddington,False,True,5,3,0.2781,0.0,0.3181,0.0,0.1932,0.0,0.2193,0.0,0.1993,0.0,1.0,0.0,0.2759,0.0,0.35483559184507607,0.2414471372149319
run_20260615_171613,2026-06-15T17:16:21,179e26a,waddington,False,True,5,3,0.1958,0.0,0.1933,0.0,0.1246,0.0,0.1366,0.0,0.1129,0.0,0.6327,0.0,0.131,0.0,0.8413,0.0,0.29601955227975196,0.17761494162014024
run_20260615_172128,2026-06-15T17:21:36,179e26a,waddington,False,True,5,3,0.303,0.0,0.3638,0.0,0.2072,0.0,0.24,0.0,0.2005,0.0,1.0,0.0,0.2966,0.0,1.0,0.0,0.4513752758660969,0.299062774147219
run_20260615_194206,2026-06-15T19:42:15,10e841c,waddington,False,True,5,3,0.3055,0.0,0.3929,0.0,0.2119,0.0,0.24,0.0,0.2074,0.0,1.0,0.0,0.3172,0.0,1.0,0.0,0.3734,0.0,0.449804144442421,0.29655949176436247
