gene,g1_ppi_score,hub_score_norm,archs4_coexpr,ppi_score_sum,label,dataset
A1BG,0.0,0.0,0.0,0.0,0,IFNG
A1CF,0.0,0.0,0.0,0.0,0,IFNG
A2M,0.0,0.0,0.0,0.0,0,IFNG
A2ML1,0.0,0.0,0.0,0.0,0,IFNG
A3GALT2,0.0,0.0556,0.0,0.0325,0,IFNG
A4GALT,0.0,0.1111,0.0,0.1204,0,IFNG
A4GNT,0.0,0.0,0.0,0.0,0,IFNG
AAAS,0.0,0.0,0.0,0.0,0,IFNG
AACS,0.0,0.0,0.0,0.0,0,IFNG
AADAC,0.0,0.0,0.0,0.0,0,IFNG
AADACL2,0.0,0.0,0.0,0.0,0,IFNG
AADACL3,0.0,0.0,0.0,0.0,0,IFNG
AADACL4,0.0,0.0,0.0,0.0,0,IFNG
AADAT,0.0,0.0,0.0,0.0,0,IFNG
AAGAB,0.0,0.0,0.0,0.0,0,IFNG
AAK1,0.0,0.0556,0.0,0.0387,0,IFNG
AAMDC,0.0,0.0,0.0,0.0,0,IFNG
AAMP,0.0,0.0,0.0,0.0,0,IFNG
AANAT,0.0,0.0,0.0,0.0,0,IFNG
AAR2,0.0,0.0556,0.0,0.0762,0,IFNG
AARD,0.0,0.0,0.0,0.0,0,IFNG
AARS1,0.0,0.0,0.0,0.0,1,IFNG
AARS2,0.0,0.0,0.0,0.0,0,IFNG
AARSD1,0.0,0.0,0.0,0.0,0,IFNG
AASDH,0.0,0.0556,0.0,0.0313,0,IFNG
AASDHPPT,0.0,0.0,0.0,0.0,0,IFNG
AASS,0.0,0.0,0.0,0.0,0,IFNG
AATF,0.0,0.0,0.0,0.0,0,IFNG
AATK,0.0,0.0,0.0,0.0,0,IFNG
ABAT,0.0,0.0,0.0,0.0,0,IFNG
ABCA1,0.0,0.0556,0.0,0.0622,0,IFNG
ABCA10,0.0,0.0,0.0,0.0,0,IFNG
ABCA12,0.0,0.0,0.0,0.0,0,IFNG
ABCA13,0.0,0.0,0.0,0.0,0,IFNG
ABCA2,0.0,0.0,0.0,0.0,0,IFNG
ABCA3,0.0,0.0,0.0,0.0,0,IFNG
ABCA4,0.0,0.0,0.0,0.0,0,IFNG
ABCA5,0.0,0.0,0.0,0.0,0,IFNG
ABCA6,0.0,0.0,0.0,0.0,0,IFNG
ABCA7,0.0,0.0,0.0,0.0,0,IFNG
ABCA8,0.0,0.0,0.0,0.0,0,IFNG
ABCA9,0.0,0.0,0.0,0.0,0,IFNG
ABCB1,0.0,0.0,0.0,0.0,0,IFNG
ABCB10,0.0,0.0,0.0,0.0,0,IFNG
ABCB11,0.0,0.0556,0.0,0.0354,0,IFNG
ABCB4,0.0,0.0,0.0,0.0,0,IFNG
ABCB5,0.0,0.0,0.0,0.0,0,IFNG
ABCB6,0.0,0.0,0.0,0.0,0,IFNG
ABCB7,0.0,0.0,0.0,0.0,1,IFNG
ABCB8,0.0,0.0,0.0,0.0,0,IFNG
ABCB9,0.0,0.0,0.0,0.0,0,IFNG
ABCC1,0.0,0.0,0.0,0.0,0,IFNG
ABCC10,0.0,0.0,0.0,0.0,0,IFNG
ABCC11,0.0,0.0,0.0,0.0,0,IFNG
ABCC12,0.0,0.0,0.0,0.0,0,IFNG
ABCC2,0.0,0.0,0.0,0.0,0,IFNG
ABCC3,0.0,0.0,0.0,0.0,0,IFNG
ABCC4,0.0,0.0,0.0,0.0,0,IFNG
ABCC5,0.0,0.0,0.0,0.0,0,IFNG
ABCC6,0.0,0.0,0.0,0.0,0,IFNG
ABCC8,0.0,0.1111,0.0,0.1083,0,IFNG
ABCC9,0.0,0.0,0.0,0.0,0,IFNG
ABCD1,0.0,0.0,0.5294,0.0,0,IFNG
ABCD2,0.0,0.0,0.0,0.0,0,IFNG
ABCD3,0.0,0.0,0.0,0.0,0,IFNG
ABCD4,0.0,0.0,0.0,0.0,0,IFNG
ABCF2,0.0,0.0,0.0,0.0,0,IFNG
ABCF3,0.0,0.0,0.0,0.0,0,IFNG
ABCG1,0.0,0.0556,0.0,0.0607,0,IFNG
ABCG2,0.0,0.0,0.0,0.0,0,IFNG
ABCG4,0.0,0.0556,0.0,0.0319,0,IFNG
ABCG5,0.0,0.0556,0.0,0.0365,0,IFNG
ABCG8,0.0,0.0556,0.0,0.0336,0,IFNG
ABHD1,0.0,0.0,0.0,0.0,0,IFNG
ABHD10,0.0,0.0,0.0,0.0,0,IFNG
ABHD11,0.0,0.0,0.0,0.0,0,IFNG
ABHD12,0.0,0.0,0.0,0.0,0,IFNG
ABHD12B,0.0,0.0,0.0,0.0,0,IFNG
ABHD13,0.0,0.0,0.0,0.0,0,IFNG
ABHD14A,0.0,0.0,0.0,0.0,0,IFNG
ABHD14B,0.0,0.0,0.0,0.0,0,IFNG
ABHD15,0.0,0.0,0.0,0.0,0,IFNG
ABHD16A,0.0,0.0,0.0,0.0,0,IFNG
ABHD16B,0.0,0.0,0.4962,0.0,0,IFNG
ABHD17A,0.0,0.0,0.0,0.0,0,IFNG
ABHD17B,0.0,0.0,0.0,0.0,0,IFNG
ABHD17C,0.0,0.0,0.0,0.0,0,IFNG
ABHD2,0.0,0.0556,0.0,0.0457,0,IFNG
ABHD3,0.0,0.0,0.0,0.0,0,IFNG
ABHD4,0.0,0.0,0.0,0.0,0,IFNG
ABHD5,0.0,0.0,0.0,0.0,0,IFNG
ABHD6,0.0,0.0,0.0,0.0,0,IFNG
ABHD8,0.0,0.0,0.0,0.0,0,IFNG
ABI1,0.639,0.1111,0.0,0.0825,0,IFNG
ABI2,0.528,0.0556,0.0,0.0403,0,IFNG
ABI3,0.0,0.0,0.0,0.0,0,IFNG
ABI3BP,0.0,0.0,0.0,0.0,0,IFNG
ABITRAM,0.0,0.0,0.0,0.0,0,IFNG
ABL1,0.766,0.2222,0.47,0.1931,0,IFNG
ABL2,0.0,0.0,0.0,0.0,0,IFNG
ABLIM1,0.0,0.0,0.0,0.0,0,IFNG
ABLIM2,0.0,0.0,0.0,0.0,0,IFNG
ABLIM3,0.0,0.0,0.0,0.0,0,IFNG
ABO,0.0,0.0,0.0,0.0,0,IFNG
ABR,0.0,0.0,0.0,0.0,0,IFNG
ABRA,0.0,0.0,0.0,0.0,0,IFNG
ABRACL,0.0,0.0,0.0,0.0,0,IFNG
ABRAXAS1,0.0,0.0,0.0,0.0,0,IFNG
ABRAXAS2,0.0,0.0,0.0,0.0,0,IFNG
ABT1,0.0,0.0,0.0,0.0,0,IFNG
ABTB1,0.0,0.0,0.0,0.0,0,IFNG
ABTB2,0.0,0.0,0.0,0.0,0,IFNG
ABTB3,0.0,0.0,0.0,0.0,0,IFNG
ACAA1,0.0,0.0556,0.0,0.037,0,IFNG
ACAA2,0.0,0.0556,0.0,0.0332,0,IFNG
ACACA,0.0,0.0,0.0,0.0,0,IFNG
ACACB,0.0,0.0,0.0,0.0,0,IFNG
ACAD10,0.0,0.0,0.0,0.0,0,IFNG
ACAD11,0.0,0.0,0.0,0.0,0,IFNG
ACAD8,0.0,0.0,0.0,0.0,0,IFNG
ACAD9,0.0,0.0,0.0,0.0,0,IFNG
ACADL,0.0,0.0,0.0,0.0,0,IFNG
ACADM,0.0,0.0,0.0,0.0,0,IFNG
ACADS,0.0,0.0,0.0,0.0,0,IFNG
ACADSB,0.0,0.0,0.0,0.0,0,IFNG
ACADVL,0.0,0.0,0.0,0.0,0,IFNG
ACAN,0.0,0.0,0.0,0.0,0,IFNG
ACAP1,0.581,0.0556,0.8327,0.0443,0,IFNG
ACAP2,0.0,0.0,0.0,0.0,0,IFNG
ACAP3,0.0,0.0,0.4384,0.0,0,IFNG
ACBD3,0.0,0.0,0.0,0.0,0,IFNG
ACBD4,0.0,0.0,0.0,0.0,0,IFNG
ACBD5,0.0,0.0,0.0,0.0,0,IFNG
ACBD6,0.0,0.0,0.0,0.0,0,IFNG
ACBD7,0.0,0.0,0.0,0.0,0,IFNG
ACCS,0.0,0.0,0.0,0.0,0,IFNG
ACCSL,0.0,0.0,0.0,0.0,0,IFNG
ACD,0.0,0.0,0.0,0.0,0,IFNG
ACE,0.0,0.0,0.0,0.0,0,IFNG
ACE2,0.0,0.0556,0.0,0.0734,0,IFNG
ACER1,0.0,0.1667,0.0,0.1734,0,IFNG
ACER2,0.0,0.1667,0.0,0.1925,0,IFNG
ACER3,0.0,0.1111,0.0,0.0745,0,IFNG
ACHE,0.0,0.2222,0.0,0.2235,0,IFNG
ACIN1,0.0,0.0,0.4828,0.0,0,IFNG
ACKR1,0.0,0.0,0.0,0.0,0,IFNG
ACKR2,0.0,0.1111,0.0,0.0881,0,IFNG
ACKR3,0.0,0.0,0.0,0.0,0,IFNG
ACKR4,0.0,0.0,0.0,0.0,0,IFNG
ACLY,0.0,0.0,0.0,0.0,0,IFNG
ACMSD,0.0,0.0,0.0,0.0,0,IFNG
ACO1,0.0,0.0,0.0,0.0,0,IFNG
ACO2,0.0,0.0,0.0,0.0,0,IFNG
ACOD1,0.0,0.0,0.0,0.0,0,IFNG
ACOT1,0.0,0.0,0.0,0.0,0,IFNG
ACOT11,0.0,0.0,0.0,0.0,0,IFNG
ACOT12,0.0,0.0,0.0,0.0,0,IFNG
ACOT13,0.0,0.0,0.0,0.0,0,IFNG
ACOT2,0.0,0.0,0.0,0.0,1,IFNG
ACOT4,0.0,0.0,0.0,0.0,0,IFNG
ACOT6,0.0,0.0,0.0,0.0,0,IFNG
ACOT7,0.0,0.0,0.0,0.0,0,IFNG
ACOT8,0.0,0.0,0.0,0.0,0,IFNG
ACOT9,0.0,0.0,0.0,0.0,0,IFNG
ACOX1,0.0,0.0556,0.0,0.0329,0,IFNG
ACOX2,0.0,0.0556,0.0,0.0329,0,IFNG
ACOX3,0.0,0.0,0.0,0.0,0,IFNG
ACOXL,0.0,0.0,0.0,0.0,0,IFNG
ACP2,0.0,0.0,0.0,0.0,0,IFNG
ACP3,0.0,0.0,0.0,0.0,0,IFNG
ACP4,0.0,0.0,0.0,0.0,1,IFNG
ACP5,0.0,0.0,0.0,0.0,0,IFNG
ACP6,0.0,0.0,0.0,0.0,0,IFNG
ACR,0.0,0.0,0.0,0.0,0,IFNG
ACRBP,0.0,0.0,0.0,0.0,0,IFNG
ACRV1,0.0,0.0,0.0,0.0,0,IFNG
ACSBG1,0.0,0.0,0.0,0.0,0,IFNG
ACSBG2,0.0,0.0,0.0,0.0,0,IFNG
ACSF2,0.0,0.0,0.0,0.0,0,IFNG
ACSF3,0.0,0.0,0.0,0.0,0,IFNG
ACSL1,0.0,0.0,0.0,0.0,0,IFNG
ACSL3,0.0,0.0,0.0,0.0,0,IFNG
ACSL4,0.0,0.0,0.0,0.0,0,IFNG
ACSL5,0.0,0.0,0.0,0.0,0,IFNG
ACSL6,0.0,0.0,0.0,0.0,0,IFNG
ACSM1,0.0,0.0,0.0,0.0,0,IFNG
ACSM2A,0.0,0.0,0.0,0.0,0,IFNG
ACSM2B,0.0,0.0,0.0,0.0,0,IFNG
ACSM3,0.0,0.0,0.0,0.0,0,IFNG
ACSM4,0.0,0.0,0.0,0.0,0,IFNG
ACSM5,0.0,0.0,0.0,0.0,0,IFNG
ACSM6,0.0,0.0,0.0,0.0,0,IFNG
ACSS1,0.0,0.0,0.0,0.0,0,IFNG
ACSS2,0.0,0.0,0.0,0.0,0,IFNG
ACSS3,0.0,0.0,0.0,0.0,0,IFNG
ACTA1,0.0,0.0,0.0,0.0,0,IFNG
ACTA2,0.0,0.0,0.0,0.0,0,IFNG
ACTBL2,0.0,0.0,0.0,0.0,0,IFNG
ACTC1,0.0,0.0,0.0,0.0,0,IFNG
ACTG1,0.0,0.0,0.0,0.0,1,IFNG
ACTG2,0.0,0.0,0.0,0.0,0,IFNG
ACTL10,0.0,0.0,0.0,0.0,0,IFNG
ACTL6B,0.0,0.0,0.0,0.0,0,IFNG
ACTL7A,0.0,0.0,0.0,0.0,0,IFNG
ACTL7B,0.0,0.0,0.0,0.0,0,IFNG
ACTL8,0.0,0.0,0.0,0.0,0,IFNG
ACTL9,0.0,0.0,0.0,0.0,0,IFNG
ACTMAP,0.0,0.0,0.0,0.0,0,IFNG
ACTN1,0.0,0.0556,0.0,0.0411,0,IFNG
ACTN2,0.0,0.0556,0.0,0.0331,0,IFNG
ACTN3,0.0,0.0,0.0,0.0,0,IFNG
ACTN4,0.0,0.0,0.0,0.0,0,IFNG
ACTR1A,0.0,0.0,0.0,0.0,0,IFNG
ACTR1B,0.0,0.0,0.0,0.0,0,IFNG
ACTR3,0.0,0.0,0.0,0.0,1,IFNG
ACTR3B,0.0,0.0,0.0,0.0,0,IFNG
ACTR3C,0.0,0.0,0.0,0.0,0,IFNG
ACTR5,0.0,0.0,0.0,0.0,0,IFNG
ACTR6,0.0,0.0,0.0,0.0,0,IFNG
ACTR8,0.0,0.0,0.3587,0.0,0,IFNG
